0, 周氏冥通記, LOC
1, 

1, 校對, LOC
2, 版本, LOC
3, ：
4, 

2, 〔
3, 日
4, 〕
5, 麥谷邦夫
6, 、
7, 吉川忠夫, LOC
8, 編
9, ，
10, 劉維峰譯
11, ：
12, 《
13, 《
14, 周氏冥通記, LOC
15, 》
16, 研究
17, 》
18, ，
19, 山東
20, ：
21, 齊魯書社
22, ，
23, 2010
24, 年
25, 。
26, 

3, 

4, 凡例
5, ：
6, 

5, 

6, 〔
7, 注解
8, 文字
9, 〕
10, 

7, 

8, 

9,  
10, 

10, 周氏冥通記, LOC
11, 卷
12, 一
13, 

11, 玄人
12, 周子良, LOC
13, 字元
14, 龢
15, ，
16, 茅山, LOC
17, 陶隱居
18, 之
19, 弟子
20, 也
21, 。
22, 本
23, 豫州
24, 汝南郡
25, 汝南縣, LOC
26, 都
27, 鄉吉遷
28, 里
29, 人
30, ，
31, 寓居
32, 丹陽, LOC
33, 建康
34, 西鄉
35, 清化
36, 里
37, ，
38, 世
39, 爲
40, 冑族, LOC
41, ，
42, 江左
43, 有聞
44, ，
45, 晚葉
46, 彫
47, 流
48, ，
49, 淪胥
50, 以瘁
51, 。
52, 祖文朗舉
53, 秀才
54, ，
55, 宋
56, 江夏王
57, 國左常侍
58, 。
59, 所
60, 生父
61, 耀宗
62, ，
63, 小名
64, 金剛
65, ，
66, 文朗
67, 第五
68, 子
69, ，
70, 郡
71, 五官
72, 掾
73, ，
74, 別住
75, 餘姚, LOC
76, ，
77, 天監
78, 二年
79, 亡
80, ，
81, 年
82, 三十四
83, ，
84, 仍
85, 假葬
86, 焉
87, 。
88, 所繼
89, 伯父
90, 耀旭
91, ，
92, 本州
93, 主簿
94, ，
95, 揚州議
96, 曹
97, 從
98, 事
99, 。
100, 母
101, 永嘉, LOC
102, 徐淨光
103, ，
104, 懷娠
105, 五月
106, ，
107, 夢
108, 一切
109, 仙室
110, 中聖
111, 皆
112, 起行
113, ，
114, 四面
115, 來繞
116, 己身
117, ，
118, 乃以
119, 建武
120, 四年
121, 丁丑
122, 歲
123, 正月
124, 二日
125, 人定
126, 時生
127, 於
128, 餘姚, LOC
129, 明星
130, 里
131, 。
132, 期歲
133, ，
134, 爲
135, 姨
136, 寶光, LOC
137, 所
138, 攝養
139, ，
140, 同如母
141, 之義
142, 。
143, 子良
144, 幼植端惠
145, ，
146, 立性
147, 和
148, 雅
149, ，
150, 家人
151, 未嘗見
152, 其
153, 慍色
154, 。
155, 十歲
156, ，
157, 隨其
158, 所養
159, 母還
160, 永嘉, LOC
161, 。
162, 

12, 天監
13, 七年
14, ，
15, 隱居東
16, 遊海
17, 嶽
18, ，
19, 權住
20, 永寧, LOC
21, 青嶂
22, 山
23, 。
24, 隱居入
25, 東
26, ，
27, 本往
28, 餘姚, LOC
29, ，
30, 乘海舫
31, 取晉安
32, 霍山
33, ，
34, 平晚
35, 下
36, 浙江
37, 。
38, 而潮
39, 來
40, 掣
41, 船
42, ，
43, 直向定
44, 山
45, 。
46, 非
47, 人力
48, 所能制
49, ，
50, 因
51, 仍
52, 上
53, 東陽
54, 。
55, 欲
56, 停
57, 永康
58, 。
59, 忽值
60, 永嘉, LOC
61, 人
62, ，
63, 談述
64, 彼
65, 山水
66, 甚美
67, 。
68, 復
69, 相
70, 隨度
71, 嶠
72, 至
73, 郡
74, ，
75, 投
76, 永寧, LOC
77, 令陸
78, 襄
79, ，
80, 陸
81, 仍
82, 自送
83, ，
84, 憩天
85, 師治堂
86, 。
87, 而子
88, 良始
89, 已
90, 寄治內
91, 住
92, ，
93, 於
94, 此
95, 相識
96, 。
97, 今討覈
98, 緣
99, 由
100, ，
101, 如神靈
102, 所召
103, ，
104, 故其得
105, 來
106, 此山
107, 。
108, 不爾
109, ，
110, 莫測
111, 其然
112, 。
113, 

13, 於
14, 時子
15, 良年
16, 十二
17, ，
18, 仍求入
19, 山伏節
20, 爲
21, 弟子
22, ，
23, 始受
24, 《
25, 仙靈籙
26, 》
27, 、
28, 《
29, 老子
30, 五千文
31, 》
32, 、
33, 《
34, 西嶽, LOC
35, 公禁
36, 虎豹
37, 符
38, 》
39, ，
40, 便
41, 專心
42, 於
43, 香燈
44, 之務
45, ，
46, 凡好
47, 書畫
48, ，
49, 人間
50, 雜伎
51, ，
52, 經心則
53, 能
54, 。
55, 後
56, 隨往
57, 南霍
58, ，
59, 及
60, 反木溜
61, ，
62, 旦夕
63, 承奉
64, ，
65, 必盡恭勤
66, 。
67, 十一年
68, ，
69, 從
70, 還茅嶺
71, 。
72, 此後進
73, 受
74, 《
75, 五
76, 嶽
77, 圖
78, 》
79, 、
80, 《
81, 三皇
82, 內文
83, 》
84, 。
85, 十二年
86, 秋
87, ，
88, 其
89, 家中
90, 表親族
91, 來
92, 投
93, 山居
94, ，
95, 乃出
96, 就
97, 西阿, LOC
98, 別
99, 廨
100, 住
101, 。
102, 

14, 以
15, 十四年
16, 乙未
17, 歲
18, 五月
19, 二十三
20, 夏至
21, 日
22, ，
23, 於
24, 廨
25, 忽
26, 未
27, 中
28, 寢
29, 臥彌淪
30, ，
31, 良久
32, 乃起
33, 出
34, 。
35, 姨母
36, 不解
37, 所以
38, ，
39, 深加
40, 辯切
41, 。
42, 乃
43, 頗
44, 說
45, 所見
46, ，
47, 具如
48, 別記
49, 。
50, 自爾
51, ，
52, 於
53, 四五
54, 旬
55, 中
56, ，
57, 大覺
58, 爲
59, 異
60, ，
61, 恒垂簾
62, 掩扉
63, ，
64, 斷人
65, 入室
66, ，
67, 燒香
68, 獨住
69, ，
70, 日
71, 中止
72, 進一升
73, 蜜餐
74, 。
75, 周家
76, 本事
77, 俗神
78, ，
79, 姨舅
80, 及
81, 道
82, 義咸恐
83, 是
84, 俗神
85, 所假
86, ，
87, 或謂
88, 欲染
89, 邪氣
90, ，
91, 亟相
92, 蹙問
93, ，
94, 唯答
95, 云
96, ：
97, 「
98, 許終
99, 是
100, 婁羅夢
101, ，
102, 無
103, 所知
104, 究
105, ，
106, 自懷
107, 愁慮
108, 爲
109, 復
110, 斷
111, 隔
112, 耳
113, 。
114, 」
115, 於
116, 是
117, 衆
118, 人莫測
119, 可否
120, ，
121, 相
122, 與
123, 縱置
124, ，
125, 聽
126, 看趣
127, 向
128, 。
129, 

15, 其
16, 七月
17, 中
18, ，
19, 乃密受
20, 真旨
21, ，
22, 令外
23, 混世
24, 跡
25, ，
26, 勿
27, 使
28, 疑異
29, ，
30, 從
31, 此趣
32, 走
33, 執事
34, ，
35, 乃過
36, 於
37, 常日
38, 。
39, 其年
40, 十月
41, ，
42, 從移
43, 朱陽, LOC
44, 。
45, 師後別
46, 居東山
47, ，
48, 便
49, 專住
50, 西館
51, ，
52, 掌理
53, 外任
54, ，
55, 應接
56, 道
57, 俗
58, ，
59, 莫不
60, 愛敬
61, ；
62, 本性
63, 君子
64, ，
65, 訥言敏行
66, ；
67, 所可云
68, 爲
69, ，
70, 默而
71, 能濟
72, ；
73, 清修
74, 公正
75, ，
76, 纖毫
77, 無私
78, 。
79, 去冬
80, ，
81, 欲
82, 潛依冥旨
83, ，
84, 逆須
85, 別宇
86, ，
87, 託
88, 以
89, 方便
90, ，
91, 冒求
92, 構立
93, ，
94, 雖建
95, 三
96, 間
97, 麤
98, 屋
99, ，
100, 經時
101, 未
102, 畢
103, 。
104, 入此
105, 年
106, 十月
107, ，
108, 便密
109, 自成
110, 辨
111, 窻
112, 戶
113, 牀
114, 簾
115, ，
116, 至十乃竟
117, 。
118, 親屬
119, 道
120, 義
121, 齎
122, 其
123, 上果
124, ，
125, 要
126, 往
127, 看
128, 之
129, ，
130, 覺其
131, 潛形
132, 側容
133, ，
134, 並莫知
135, 所以
136, 。
137, 至
138, 二十六日
139, ，
140, 密封
141, 題東
142, 西館
143, 諸戶
144, 閣
145, 廨
146, 處
147, 磨洗
148, ，
149, 以
150, 文簿
151, 器物
152, 料付
153, 何文幸
154, 。
155, 爾夕
156, ，
157, 自移
158, 衾
159, 枕
160, ，
161, 出所住
162, 廨
163, ，
164, 云
165, ：
166, 「
167, 當暫
168, 齎
169, 。
170, 」
171, 或云
172, ：
